REGION,ACTIVIDAD_ECONOMICA,n_accidentes,tasa_permanente,prop_masculino,prop_operario,diversidad_formas,concentracion_forma,log_accidentes,unidad,cluster,PC1,PC2,cluster_dbscan
ANCASH,"ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER",112,49.107142857142854,92.85714285714286,16.071428571428573,10,39.285714285714285,2.0492180226701815,ACTIVIDADES INMOBILIAR · ANCASH,1,1.1462931350181451,1.2549514896612457,0
ANCASH,"COMERCIO AL POR MAYOR Y AL POR MENOR, REP. VEHC. AUTOM.",62,38.70967741935484,96.7741935483871,32.25806451612903,10,20.967741935483872,1.792391689498254,COMERCIO AL POR MAYOR  · ANCASH,0,-0.19366274661991517,1.2657382867858213,0
ANCASH,CONSTRUCCIÎ,116,25.0,93.96551724137932,52.58620689655172,10,23.275862068965516,2.0644579892269186,CONSTRUCCIÎ · ANCASH,0,-0.530107549210298,0.7833964337772058,0
ANCASH,EXPLOTACIÎ DE MINAS Y CANTERAS,269,33.82899628252788,98.88475836431226,25.650557620817843,10,26.765799256505574,2.429752280002408,EXPLOTACIÎ DE MINAS Y  · ANCASH,0,-0.1047238902461649,1.2056756081453124,0
ANCASH,INDUSTRIAS MANUFACTURERAS,108,28.703703703703702,96.29629629629629,40.74074074074074,8,48.148148148148145,2.03342375548695,INDUSTRIAS MANUFACTURE · ANCASH,1,0.8179376090654209,0.8468718413071659,0
ANCASH,"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES",174,20.689655172413794,94.82758620689656,23.563218390804597,10,20.689655172413794,2.2405492482826,"TRANSPORTE, ALMACENAMI · ANCASH",0,-0.8246794820829442,0.7271282147168552,0
APURIMAC,"ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER",59,22.033898305084744,94.91525423728814,8.47457627118644,8,35.59322033898305,1.7708520116421442,ACTIVIDADES INMOBILIAR · APURIMAC,0,-0.031010338686700646,0.6849228341634813,0
AREQUIPA,"ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER",922,4.121475054229935,83.83947939262472,21.149674620390453,10,29.50108459869848,2.9647309210536292,ACTIVIDADES INMOBILIAR · AREQUIPA,0,-0.8301819728836991,-0.22583117406131636,0
AREQUIPA,ADMINISTRACIÎ PLICA Y DEFENSA,737,2.03527815468114,57.53052917232022,27.815468113975577,10,25.237449118046136,2.8674674878590514,ADMINISTRACIÎ PLICA Y · AREQUIPA,0,-0.774213019572866,-1.4256050055926104,0
AREQUIPA,"AGRICULTURA, GANADERA, CAZA Y SILVICULTURA",283,3.53356890459364,91.51943462897526,26.148409893992934,10,36.39575971731448,2.45178643552429,"AGRICULTURA, GANADERA, · AREQUIPA",0,-0.6060478118466016,0.06397224166133354,0
AREQUIPA,"COMERCIO AL POR MAYOR Y AL POR MENOR, REP. VEHC. AUTOM.",653,4.134762633996937,88.208269525268,13.935681470137826,10,26.952526799387442,2.814913181275074,COMERCIO AL POR MAYOR  · AREQUIPA,0,-1.0145557373515515,-0.01751772745021601,0
AREQUIPA,CONSTRUCCIÎ,987,2.43161094224924,94.93414387031407,35.86626139817629,10,30.29381965552178,2.9943171526696366,CONSTRUCCIÎ · AREQUIPA,0,-0.9957875221129778,0.2208418278919974,0
AREQUIPA,EXPLOTACIÎ DE MINAS Y CANTERAS,659,2.12443095599393,95.2959028831563,39.90895295902883,10,32.16995447647951,2.8188854145940097,EXPLOTACIÎ DE MINAS Y  · AREQUIPA,0,-0.9174495601414608,0.21913793040471852,0
AREQUIPA,INDUSTRIAS MANUFACTURERAS,1228,3.3387622149837135,81.51465798045604,19.62540716612378,10,33.957654723127035,3.089198366805149,INDUSTRIAS MANUFACTURE · AREQUIPA,0,-0.6043520862485044,-0.3728338891195877,0
AREQUIPA,INTERMEDIACIÎ FINANCIERA,54,3.7037037037037033,74.07407407407408,9.25925925925926,7,37.03703703703704,1.7323937598229686,INTERMEDIACIÎ FINANCIE · AREQUIPA,0,-0.3397219902353765,-0.7110987625445261,0
AREQUIPA,"OTRAS ACTIV. SERV. COMUNITARIOS,SOCIALES Y PERSONALES",467,2.355460385438972,91.22055674518201,23.554603854389722,10,29.978586723768736,2.6693168805661123,OTRAS ACTIV. SERV. COM · AREQUIPA,0,-0.9657402693047065,0.05544768150801715,0
AREQUIPA,SERVICIOS SOCIALES Y DE SALUD,272,1.4705882352941175,31.985294117647058,3.308823529411765,10,52.20588235294118,2.4345689040341987,SERVICIOS SOCIALES Y D · AREQUIPA,2,0.8911997097724971,-2.7206333315411624,0
AREQUIPA,"SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA",73,0.0,97.26027397260275,8.21917808219178,8,27.397260273972602,1.863322860120456,SUMINISTRO DE ELECTRIC · AREQUIPA,0,-1.2580677043358564,0.2786383593120194,0
AREQUIPA,"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES",904,3.4292035398230087,95.02212389380531,12.168141592920353,10,29.314159292035395,2.9561684304753633,"TRANSPORTE, ALMACENAMI · AREQUIPA",0,-1.0104622439259594,0.2551164848661708,0
CAJAMARCA,"ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER",63,11.11111111111111,88.88888888888889,41.269841269841265,9,26.984126984126984,1.7993405494535817,ACTIVIDADES INMOBILIAR · CAJAMARCA,0,-0.7731183454581925,0.1881632895985469,0
