PERIODO,accidentes,pronostico
2012-01-01,509.0,
2012-02-01,1013.0,
2012-03-01,1571.0,
2012-04-01,1457.0,
2012-05-01,1644.0,
2012-06-01,1071.0,
2012-07-01,846.0,
2012-08-01,1477.0,
2012-09-01,1868.0,
2012-10-01,1801.0,
2012-11-01,1271.0,
2012-12-01,1077.0,
2013-01-01,1179.0,
2013-02-01,2139.0,
2013-03-01,1136.0,
2013-04-01,1097.0,
2013-05-01,1463.0,
2013-06-01,1544.0,
2013-07-01,1605.0,
2013-08-01,1636.0,
2013-09-01,1524.0,
2013-10-01,1541.0,
2013-11-01,2599.0,
2013-12-01,1490.0,
2014-01-01,854.0,
2014-02-01,1125.0,
2014-03-01,1111.0,
2014-04-01,1118.0,
2014-05-01,1434.0,
2014-06-01,800.0,
2014-07-01,1624.0,
2014-08-01,1277.0,
2014-09-01,1179.0,
2014-10-01,1302.0,
2014-11-01,1705.0,
2014-12-01,1205.0,
2015-01-01,1436.0,
2015-02-01,1341.0,
2015-03-01,1480.0,
2015-04-01,1573.0,
2015-05-01,1105.0,
2015-06-01,1810.0,
2015-07-01,1961.0,
2015-08-01,2288.0,
2015-09-01,2135.0,
2015-10-01,1933.0,
2015-11-01,2295.0,
2015-12-01,1584.0,
2016-01-01,2475.0,
2016-02-01,1689.0,
2016-03-01,1818.0,
2016-04-01,2062.0,
2016-05-01,1796.0,
2016-06-01,1541.0,
2016-07-01,1892.0,
2016-08-01,1286.0,
2016-09-01,1697.0,
2016-10-01,1643.0,
2016-11-01,1678.0,
2016-12-01,1296.0,
2017-01-01,1518.0,
2017-02-01,1128.0,
2017-03-01,1393.0,
2017-04-01,1149.0,
2017-05-01,884.0,
2017-06-01,1018.0,
2017-07-01,993.0,
2017-08-01,1277.0,
2017-09-01,959.0,
2017-10-01,2325.0,
2017-11-01,1802.0,
2017-12-01,1191.0,
2018-01-01,1193.0,
2018-02-01,1130.0,
2018-03-01,1263.0,
2018-04-01,1011.0,
2018-05-01,1563.0,
2018-06-01,1786.0,
2018-07-01,1701.0,
2018-08-01,1547.0,
2018-09-01,1513.0,
2018-10-01,2313.0,
2018-11-01,2300.0,
2018-12-01,2804.0,
2019-01-01,2524.0,
2019-02-01,2984.0,
2019-03-01,3289.0,
2019-04-01,3126.0,
2019-05-01,3054.0,
2019-06-01,3028.0,
2019-07-01,3021.0,
2019-08-01,2663.0,
2019-09-01,2719.0,
2019-10-01,3041.0,
2019-11-01,2662.0,
2019-12-01,2685.0,
2020-01-01,2828.0,
2020-02-01,3238.0,
2020-03-01,2038.0,
2020-04-01,702.0,
2020-05-01,477.0,
2020-06-01,619.0,
2020-07-01,1098.0,
2020-08-01,1408.0,
2020-09-01,2395.0,
2020-10-01,2856.0,
2020-11-01,2654.0,
2020-12-01,2193.0,
2021-01-01,2362.0,
2021-02-01,1897.0,
2021-03-01,2415.0,
2021-04-01,2210.0,
2021-05-01,2408.0,
2021-06-01,1650.0,
2021-07-01,2758.0,
2021-08-01,2351.0,
2021-09-01,2182.0,
2021-10-01,2198.0,
2021-11-01,2687.0,
2021-12-01,2639.0,
2022-01-01,1103.0,
2022-02-01,3525.0,
2022-03-01,3189.0,
2022-04-01,2765.0,
2022-05-01,3040.0,
2022-06-01,3076.5,
2022-07-01,3113.0,
2022-08-01,3149.5,
2022-09-01,3186.0,
2022-10-01,3222.5,
2022-11-01,3259.0,
2022-12-01,3295.5,
2023-01-01,3332.0,
2023-02-01,2965.0,
2023-03-01,3028.0,
2023-04-01,2453.0,
2023-05-01,2491.0,
2023-06-01,3182.0,
2023-07-01,3280.0,
2023-08-01,3051.0,
2023-09-01,3007.0,
2023-10-01,3288.0,
2023-11-01,3324.0,
2023-12-01,2655.0,
2024-01-01,2794.0,
2024-02-01,2986.0,
2024-03-01,2808.0,
2024-04-01,3372.0,
2024-05-01,3081.0,
2024-06-01,,3069.0
2024-07-01,,3069.0
2024-08-01,,3069.0
2024-09-01,,3069.0
2024-10-01,,3069.0
2024-11-01,,3069.0
